Date,Open,High,Low,Close,Volume
2023-11-10,38.76,40.82,38.59,40.82,685920.0
2023-11-13,40.265,40.72,39.75,40.39,618211.0
2023-11-14,42.5,43.275,42.295,43.11,789745.0
2023-11-15,43.65,43.765,42.61,43.08,759018.0
2023-11-16,42.75,43.2,42.34,43.14,1240868.0
2023-11-17,42.87,43.49,42.57,43.16,621662.0
2023-11-20,43.165,44.93,43.165,44.7,548616.0
2023-11-21,44.09,44.11,43.3,43.9,356116.0
2023-11-22,44.61,45.41,44.065,44.39,587317.0
2023-11-24,44.26,44.42,43.85,44.19,181360.0
2023-11-27,44.04,44.72,43.785,44.06,382588.0
2023-11-28,43.805,44.595,43.67,44.39,976410.0
2023-11-29,45.25,45.72,44.13,44.215,636188.0
2023-11-30,44.27,44.43,42.86,43.88,709026.0
2023-12-01,43.46,44.415,42.93,44.2,505519.0
2023-12-04,42.9,43.06,41.76,42.94,860954.0
2023-12-05,42.39,43.7,42.29,43.32,658641.0
2023-12-06,44.31,44.31,42.41,42.53,850936.0
2023-12-07,43.48,44.535,43.12,44.32,926390.0
2023-12-08,43.65,45.0,43.65,44.82,883265.0
2023-12-11,44.67,46.07,44.62,45.99,566824.0
2023-12-12,45.98,47.09,45.58,47.08,545128.0
2023-12-13,47.4,49.06,47.1,48.86,1075341.0
2023-12-14,49.24,49.7,47.56,48.65,697396.0
2023-12-15,49.02,49.78,48.71,49.2,616950.0
2023-12-18,49.4,50.59,49.38,50.19,468873.0
2023-12-19,50.39,51.06,50.37,51.06,472883.0
2023-12-20,50.45,51.25,48.46,48.57,925707.0
2023-12-21,49.88,50.25,48.97,50.16,735436.0
2023-12-22,50.6,50.93,49.64,50.38,461536.0
2023-12-26,50.64,51.5,50.625,51.24,338838.0
2023-12-27,51.38,51.65,51.05,51.55,309228.0
2023-12-28,51.91,52.01,51.28,51.385,363230.0
2023-12-29,51.37,51.51,50.0,50.66,441086.0
2024-01-02,49.35,49.4,47.27,48.11,658500.0
2024-01-03,47.17,47.53,46.45,46.53,563642.0
2024-01-04,45.86,46.97,45.74,45.79,452846.0
2024-01-05,45.87,46.91,45.48,45.95,712911.0
2024-01-08,46.39,48.89,46.33,48.83,556047.0
2024-01-09,47.69,49.385,47.63,49.12,422057.0
2024-01-10,49.19,50.395,48.85,50.11,595499.0
2024-01-11,50.55,50.96,48.41,50.29,826258.0
2024-01-12,50.67,50.96,49.84,50.32,542083.0
2024-01-16,49.88,50.895,49.33,50.33,543999.0
2024-01-17,49.1,49.585,47.9,49.45,676831.0
2024-01-18,50.705,51.675,50.11,51.56,719353.0
2024-01-19,52.35,54.615,52.1,54.55,543528.0
2024-01-22,55.4,55.91,54.52,54.74,579978.0
2024-01-23,55.0,55.51,54.28,55.51,406547.0
2024-01-24,56.96,57.87,56.15,56.33,699508.0
2024-01-25,57.27,57.51,55.53,56.47,702428.0
2024-01-26,55.645,56.35,55.2,55.37,317964.0
2024-01-29,55.63,57.17,55.38,57.11,501175.0
2024-01-30,56.7,56.91,55.61,55.95,326676.0
2024-01-31,54.08,54.97,52.59,52.69,704196.0
2024-02-01,53.28,54.62,52.92,54.48,426665.0
2024-02-02,55.185,57.67,54.87,57.01,812463.0
2024-02-05,57.18,57.4,55.585,56.87,585795.0
2024-02-06,57.4,57.64,55.66,56.6,503622.0
2024-02-07,57.7,58.65,57.18,58.31,415239.0
2024-02-08,58.37,58.89,58.045,58.59,528819.0
2024-02-09,59.04,60.59,58.73,60.27,391185.0
2024-02-12,60.18,61.14,59.315,59.55,443207.0
2024-02-13,56.1,57.85,55.44,56.745,698401.0
2024-02-14,57.82,58.74,56.88,58.63,402105.0
2024-02-15,58.85,59.21,57.75,59.06,548962.0
2024-02-16,59.18,59.18,57.11,57.37,463265.0
2024-02-20,56.51,57.13,54.58,56.05,647455.0
2024-02-21,54.78,55.42,53.82,55.4,416381.0
2024-02-22,58.91,60.57,58.5,60.2,552850.0
2024-02-23,60.855,61.19,59.22,59.62,431458.0
2024-02-26,59.96,60.35,59.44,59.46,290577.0
2024-02-27,59.92,60.07,58.9,60.0,272911.0
2024-02-28,59.03,59.5,58.59,58.94,766176.0
2024-02-29,60.075,60.83,58.795,60.515,685293.0
2024-03-01,60.75,63.51,60.735,63.14,586007.0
2024-03-04,63.135,63.27,62.31,62.32,500878.0
2024-03-05,61.1,61.1,58.03,59.02,629093.0
2024-03-06,60.76,61.42,59.35,60.12,617681.0
2024-03-07,61.55,63.3,60.95,62.81,414189.0
2024-03-08,62.89,64.09,59.8,60.28,1125950.0
2024-03-11,59.305,59.86,58.57,59.34,459401.0
2024-03-12,60.38,62.04,58.96,61.89,450138.0
2024-03-13,61.355,61.36,60.06,60.43,391445.0
2024-03-14,60.88,61.04,58.8,59.87,586245.0
2024-03-15,58.64,58.91,57.29,57.79,392601.0
2024-03-18,59.89,60.8,59.29,59.38,249666.0
2024-03-19,58.55,59.935,57.72,59.77,218383.0
2024-03-20,60.15,61.83,59.38,61.73,472982.0
2024-03-21,63.76,63.93,62.44,62.49,307750.0
2024-03-22,62.27,63.14,61.925,62.66,189234.0
2024-03-25,61.41,62.62,61.07,62.05,215080.0
2024-03-26,62.53,62.98,61.3,61.38,249092.0
2024-03-27,62.58,62.61,60.74,61.95,302626.0
2024-03-28,61.9,62.22,61.4,61.41,236103.0
2024-04-01,61.93,62.98,61.17,61.965,266724.0
2024-04-02,59.86,60.42,59.01,60.3,250020.0
2024-04-03,59.46,61.42,59.46,60.68,272673.0
2024-04-04,62.37,62.6,57.75,57.78,637184.0
2024-04-05,58.33,60.91,58.08,59.89,480852.0
2024-04-08,60.22,60.63,59.39,59.87,228976.0
2024-04-09,60.81,60.91,58.62,60.54,333511.0
2024-04-10,58.3,59.26,58.06,58.855,816465.0
2024-04-11,59.59,62.05,58.69,61.69,925448.0
2024-04-12,59.88,60.33,58.15,58.71,460148.0
2024-04-15,60.18,60.2,55.44,55.69,701648.0
2024-04-16,55.67,56.8,55.25,55.78,524847.0
2024-04-17,56.53,56.54,53.365,53.71,665459.0
2024-04-18,53.88,54.5,52.52,52.73,507575.0
2024-04-19,52.25,52.42,48.87,49.36,911466.0
2024-04-22,50.45,51.765,49.2,50.94,411833.0
