Date,Open,High,Low,Close,Volume
2021-03-16,13.115,13.34,12.71,13.15,1265355.0
2021-03-17,13.61,13.755,12.77,13.035,463806.0
2021-03-18,13.61,14.25,13.49,14.21,425417.0
2021-03-19,14.19,14.5,13.84,13.94,560314.0
2021-03-22,13.7,13.7,12.98,13.24,632935.0
2021-03-23,13.13,13.51,12.955,13.45,420932.0
2021-03-24,13.245,14.1,13.245,14.1,310926.0
2021-03-25,14.445,14.705,13.98,14.185,632649.0
2021-03-26,14.13,14.4,13.515,13.515,618585.0
2021-03-29,13.61,13.995,13.42,13.63,531511.0
2021-03-30,13.79,14.1,13.7,13.87,212651.0
2021-03-31,13.535,13.535,12.92,13.12,385514.0
2021-04-01,12.66,12.66,12.435,12.435,641066.0
2021-04-05,12.16,12.17,11.62,11.685,782389.0
2021-04-06,11.73,11.8,11.52,11.755,193340.0
2021-04-07,11.8,11.87,11.555,11.645,239190.0
2021-04-08,11.32,11.4,11.27,11.275,376602.0
2021-04-09,11.43,11.48,11.05,11.08,934219.0
2021-04-12,11.17,11.3,11.08,11.12,322631.0
2021-04-13,10.95,10.95,10.68,10.72,240556.0
2021-04-14,10.715,11.16,10.715,11.15,393654.0
2021-04-15,10.77,10.79,10.565,10.62,386624.0
2021-04-16,10.57,10.73,10.55,10.57,227370.0
2021-04-19,10.72,11.02,10.61,10.89,275115.0
2021-04-20,10.915,11.28,10.81,11.11,379401.0
2021-04-21,11.21,11.31,10.79,10.8,287720.0
2021-04-22,10.84,11.3,10.75,11.19,937378.0
2021-04-23,11.13,11.13,10.635,10.75,847976.0
2021-04-26,10.74,10.81,10.535,10.58,1017876.0
2021-04-27,10.56,10.77,10.555,10.71,630381.0
2021-04-28,10.8,10.86,10.64,10.835,350594.0
2021-04-29,10.46,11.0,10.45,10.7,375728.0
2021-04-30,10.945,10.98,10.7,10.945,411431.0
2021-05-03,10.78,11.115,10.705,11.08,262715.0
2021-05-04,11.35,12.055,11.3,11.69,2015050.0
2021-05-05,11.415,11.86,11.35,11.8,266059.0
2021-05-06,11.82,12.05,11.53,11.53,466987.0
2021-05-07,11.2,11.34,10.995,11.22,461443.0
2021-05-10,11.37,12.07,11.37,12.05,319253.0
2021-05-11,12.8,12.805,12.05,12.12,707880.0
2021-05-12,12.73,13.135,12.45,13.075,750713.0
2021-05-13,12.695,13.07,12.4,12.77,576941.0
2021-05-14,12.35,12.425,11.81,11.88,475916.0
2021-05-17,12.11,12.45,12.06,12.135,191747.0
2021-05-18,12.1,12.37,11.905,12.37,267091.0
2021-05-19,13.04,13.04,12.315,12.335,550367.0
2021-05-20,12.17,12.19,11.53,11.63,700038.0
2021-05-21,11.43,11.85,11.43,11.84,257948.0
2021-05-24,11.58,11.58,11.1,11.22,634445.0
2021-05-25,11.055,11.29,10.99,11.17,252233.0
2021-05-26,11.05,11.16,11.01,11.075,132858.0
2021-05-27,11.11,11.19,11.02,11.12,156904.0
2021-05-28,11.04,11.1,10.91,11.1,273183.0
2021-06-01,10.95,11.315,10.89,11.155,333415.0
2021-06-02,11.16,11.29,11.04,11.125,169916.0
2021-06-03,11.415,11.615,11.28,11.47,246122.0
2021-06-04,11.255,11.255,10.83,10.865,1055369.0
2021-06-07,10.925,10.97,10.775,10.78,318692.0
2021-06-08,10.6,10.925,10.52,10.77,876466.0
2021-06-09,10.62,10.765,10.56,10.745,139349.0
2021-06-10,10.73,10.75,10.405,10.41,626795.0
2021-06-11,10.42,10.47,10.33,10.33,332798.0
2021-06-14,10.36,10.38,10.065,10.065,274415.0
2021-06-15,10.07,10.29,10.06,10.26,372416.0
2021-06-16,10.17,10.66,10.1,10.35,972550.0
2021-06-17,10.44,10.44,9.86,9.96,618948.0
2021-06-18,10.08,10.24,10.0,10.16,394619.0
2021-06-21,10.19,10.36,9.97,9.985,295946.0
2021-06-22,10.02,10.02,9.675,9.72,427347.0
2021-06-23,9.71,9.76,9.61,9.71,335947.0
2021-06-24,9.53,9.57,9.39,9.52,550257.0
2021-06-25,9.48,9.6,9.46,9.55,508173.0
2021-06-28,9.4,9.4,9.195,9.2,579545.0
