Date,Open,High,Low,Close,Volume
2014-08-27,285190,286785,283994,284944,223.592
2014-08-28,287576,288799,285031,286056,215.511
2014-08-29,284070,287173,282673,282673,191.458
2014-09-02,280824,283752,280083,280241,287.572
2014-09-03,278029,286699,278029,285031,319.899
2014-09-04,282956,288071,278797,285887,491.971
2014-09-05,284570,288942,281141,281466,409.759
2014-09-08,281631,283833,277947,279840,358.816
2014-09-09,280241,288473,276800,286785,482.35
2014-09-10,285971,288234,279592,279762,522.373
2014-09-11,283361,286622,280083,280323,404.083
2014-09-12,281390,287334,281055,284652,378.25
2014-09-15,283833,295506,283752,292997,554.315
2014-09-16,296133,297270,283752,285416,532.042
2014-09-17,285337,289109,280001,283994,427.462
2014-09-18,281631,282261,277621,277696,290.795
2014-09-19,274181,281390,274099,278263,381.666
2014-09-22,280409,289354,280001,285724,485.525
2014-09-23,289188,289842,284320,288071,473.883
2014-09-24,287501,290253,278558,279265,628.638
2014-09-25,281466,296703,280653,296383,877.919
2014-09-26,293730,295031,285416,286699,537.767
2014-09-29,295586,295968,285724,287826,560.04
2014-09-30,285337,290859,282427,286622,604.729
2014-10-01,289270,303241,288473,300495,868.827
2014-10-02,300984,311938,297910,300741,916.884
2014-10-03,295506,298479,287989,291730,688.962
2014-10-06,289188,296213,286785,293322,611.849
2014-10-07,297586,306092,295116,305855,689.731
2014-10-08,305362,310923,285337,288155,974.995
2014-10-09,288942,303241,287007,301956,1002.8
2014-10-10,307301,324646,302040,324571,1140.86
2014-10-13,326285,340556,318758,339401,927.804
2014-10-14,333141,342495,326448,339703,1172.7
2014-10-15,355185,369544,341930,346263,1212.49
2014-10-16,367891,368346,343858,352722,927.13
2014-10-17,338913,344978,328690,338993,1343.43
2014-10-20,338993,340798,322715,323749,687.134
2014-10-21,311639,313918,298066,298149,1083.95
2014-10-22,295506,303241,294059,302917,706.953
2014-10-23,293730,295031,283915,288632,973.648
2014-10-24,287173,290545,281306,282032,629.311
2014-10-27,283438,286863,279682,281141,500.053
2014-10-28,277455,277865,268369,268691,544.165
2014-10-29,271305,277135,269086,271543,626.329
2014-10-30,275058,276885,267885,269558,612.282
2014-10-31,256393,261157,255824,258585,582.12
2014-11-03,257337,258287,254237,256148,467.197
2014-11-04,258585,264053,256861,258757,507.798
2014-11-05,253908,261489,253661,258507,505.729
2014-11-06,259002,262131,256148,256315,574.183
2014-11-07,254882,260937,254480,257028,366.513
2014-11-10,256717,258585,253251,254237,483.697
2014-11-11,254156,256148,251748,251748,356.026
2014-11-12,254715,254968,249672,250465,462.963
2014-11-13,249119,250796,244478,247368,823.896
2014-11-14,247620,249893,244949,244949,488.844
2014-11-17,246798,250631,245023,247289,366.898
2014-11-18,246472,246472,240668,241621,531.994
2014-11-19,242424,248096,242339,244717,588.758
2014-11-20,247930,248553,240991,241537,472.103
2014-11-21,235148,242339,234436,240019,450.168
2014-11-24,238208,238755,234187,234187,545.368
2014-11-25,233312,235148,231400,233312,414.089
2014-11-26,232682,233312,228366,228694,588.566
2014-11-28,226919,227330,224067,225410,326.441
2014-12-01,227246,235696,226200,233227,519.92
2014-12-02,232517,234026,229257,230359,399.85
2014-12-03,229466,233477,228277,229095,355.352
2014-12-04,230034,232361,226833,229627,501.592
2014-12-05,228449,230907,227330,229405,333.464
2014-12-08,231228,237873,228194,234581,585.535
2014-12-09,242641,244949,231627,231858,834.864
2014-12-10,233312,244238,231627,243134,596.119
2014-12-11,240991,241079,230846,239605,877.197
2014-12-12,246553,247368,238264,247368,706.183
2014-12-15,243598,257170,240749,255049,1159.33
2014-12-16,259958,267393,248637,267393,1167.07
2014-12-17,266744,267885,250384,253503,1144.37
2014-12-18,241767,243909,234187,234436,1026.03
2014-12-19,233312,235211,228449,231482,536.372
2014-12-22,232112,232745,229322,229707,385.755
2014-12-23,227004,232825,226667,231945,304.601
2014-12-24,230767,231482,228694,231400,113.72
2014-12-26,229322,229505,224944,226526,187.802
2014-12-29,227163,227547,225187,226667,230.856
2014-12-30,228528,232030,227004,230987,284.59
2014-12-31,230195,239241,227246,238208,396.771
2015-01-02,234819,243764,231627,239687,533.822
2015-01-05,243519,252847,242641,251527,468.736
2015-01-06,249834,264297,248493,260772,692.81
2015-01-07,255991,257652,249119,251111,372.381
2015-01-08,244238,245272,235066,236408,579.811
2015-01-09,234514,245105,234026,241079,591.982
2015-01-12,239540,250631,239163,248637,563.215
2015-01-13,241477,254882,233708,248802,945.603
2015-01-14,256553,259544,249266,253015,816.296
2015-01-15,249672,263812,248241,262905,779.447
2015-01-16,264463,265337,252527,253661,630.658
2015-01-20,248957,257494,245521,247533,445.694
2015-01-21,249672,252322,240351,243598,649.9
2015-01-22,240907,247368,229466,230281,821.732
2015-01-23,230281,232236,226667,228936,507.653
2015-01-26,229405,232902,228194,229405,377.721
2015-01-27,240019,249423,239773,247125,685.787
2015-01-28,235374,251213,234665,250871,753.038
2015-01-29,251666,258287,242581,243909,738.702
2015-01-30,244478,250465,238914,249672,630.418
2015-02-02,248015,259544,242339,243190,560.569
2015-02-03,240749,245105,235534,235857,619.642
2015-02-04,239001,240581,232030,236657,580.917
2015-02-05,234903,236570,230034,230767,386.669
2015-02-06,229257,237147,227876,234737,541.471
2015-02-09,237393,238504,233622,237062,358.094
2015-02-10,232902,234107,224944,225736,498.08
2015-02-11,225187,226369,221824,223332,669.046
2015-02-12,219176,219976,215374,215596,649.9
2015-02-13,213899,214873,209826,209909,597.273
2015-02-17,210077,211521,208976,209359,275.017
2015-02-18,210236,211055,208258,208668,269.34
2015-02-19,208976,209137,204984,205441,470.564
2015-02-20,206023,207686,200910,201387,357.613
2015-02-23,201470,202905,200524,200602,295.269
2015-02-24,201387,203051,199484,200124,367.715
2015-02-25,201226,202988,198820,201688,373.584
2015-02-26,201144,202739,198350,198595,394.462
2015-02-27,198908,202167,198518,201144,292.046
2015-03-02,200124,200124,195561,195716,369.88
2015-03-03,197473,202167,196991,198435,327.836
2015-03-04,200441,204022,199646,200602,341.161
2015-03-05,199155,202167,198025,199807,344.481
2015-03-06,200524,208018,199407,206792,437.997
2015-03-09,205368,207852,203206,204901,381.762
2015-03-10,209137,216080,208976,216080,716.67
2015-03-11,215123,220056,214392,219976,443.433
2015-03-12,220383,220684,214722,215435,527.954
2015-03-13,216080,222236,213517,218198,705.895
2015-03-16,215756,216471,209520,209909,458.249
2015-03-17,211682,212904,207852,208828,304.794
2015-03-18,210474,213664,199807,202334,686.989
2015-03-19,201938,202905,200124,201615,534.833
2015-03-20,196673,197796,194844,197229,663.851
2015-03-23,197951,198991,196438,198908,448.772
2015-03-24,198908,201144,196200,200977,348.81
2015-03-25,200124,215123,199729,214955,625.607
2015-03-26,220133,222296,213455,217180,746.351
2015-03-27,217042,218118,212904,214473,343.422
2015-03-30,210404,210404,206548,206875,363.001
2015-03-31,208828,213739,207603,213599,367.86
2015-04-01,213599,221093,213599,216879,563.648
2015-04-02,216386,218610,214554,216386,383.205
2015-04-06,220383,221423,209443,211377,444.78
2015-04-07,211682,212333,206875,212333,403.265
2015-04-08,212009,212165,206324,207285,595.686
2015-04-09,207285,209665,203123,203372,407.931
2015-04-10,203534,204901,200743,200826,326.826
2015-04-13,200441,202988,197390,202411,633.496
2015-04-14,202571,207441,201226,204183,488.604
2015-04-15,202334,203206,198991,200356,492.548
2015-04-16,201771,202739,200040,201059,393.788
2015-04-17,206875,213045,205208,210236,687.663
2015-04-20,207358,207519,199958,200977,451.226
2015-04-21,197556,199155,196595,198350,595.397
2015-04-22,196839,200685,194276,195311,772.135
2015-04-23,197150,197229,190364,193005,922.32
